marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nacionality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,predicted_proba,risk_tier
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,0.9435350305072445,High
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0.32638988964458404,Medium
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0.25776776621104514,Medium
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,0.03914589756770624,Low
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,0.16170608402023234,Medium
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,0.1531318507312486,Medium
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0.8817747594788303,High
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,0.0458216863892694,Low
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0.4117553940624434,High
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,0.8242105066351896,High
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,0.3171966155172192,Medium
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,0.5434863330640387,High
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,0.6111140803622224,High
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0.06739383283613166,Medium
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,0.036284187447116686,Low
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,0.08080032437037782,Medium
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,0.22654078621797882,Medium
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,0.9494330887309073,High
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,0.49945451051176615,High
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,0.24124406268540832,Medium
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,0.11369734246545819,Medium
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,0.03566032948061296,Low
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,0.0506748693552834,Low
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,0.08392770472073455,Medium
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,0.26688684022553005,Medium
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,0.966791237040487,High
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0.962974661242379,High
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,0.2985047610870848,Medium
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,0.8635322722694854,High
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,0.914383634414083,High
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,0.0846876116124937,Medium
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,1,0,0,1,1,0,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,0.13335330479133553,Medium
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0.09144567980682126,Medium
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,0.02415739236886249,Low
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,0.06011945541756763,Low
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0.9965888037210795,High
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,0.2915951921144977,Medium
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,0.3963535627834219,High
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,0.9705696286898472,High
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,43,0,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,0.030795481722162447,Low
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,0.9516612597440454,High
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,0.04336268164503711,Low
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0.9718096161154616,High
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,0.20822344247501537,Medium
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,0.1949078999961164,Medium
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,0.44496831148967925,High
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,0.06458014169783668,Low
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,0.15796766594733666,Medium
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,0.07767407335972316,Medium
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,0.04324314236587777,Low
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,0.0588875325887428,Low
1,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,0,0,0,1,0,0,20,0,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,0.049143237648208486,Low
1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,0.1539927022878816,Medium
1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,0.2819692722621526,Medium
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18,0,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,0.05363692257451006,Low
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,0.04910226161745208,Low
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,0.4990081600658825,High
1,1,2,9147,1,1,120.0,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,0.13092041595019452,Medium
1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0.20075831098254365,Medium
1,1,1,9670,1,1,131.0,1,38,38,9,9,127.9,0,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,0.03931884876912598,Low
1,1,1,9085,1,1,130.0,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,0.049729639956136246,Low
1,17,6,9556,1,1,122.0,1,1,1,4,5,117.1,1,0,0,1,0,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0.0,0,13.9,-0.3,0.79,0.9456861451497015,High
1,44,1,9085,1,39,160.0,1,37,37,9,9,160.0,1,0,0,1,0,0,20,0,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,12.4,0.5,1.79,0.07217135447601368,Medium
1,1,1,9853,1,1,146.0,1,19,38,9,3,145.3,1,0,0,1,0,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,0.05349101003866341,Low
1,17,3,9238,1,1,131.0,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,0.04721887050182617,Low
